"Series.Name","Series.Code","Country.Name","Country.Code","Region","Year","Value"
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Afghanistan","AFG","Eastern Mediterranean Region",2021,54.75701944
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Albania","ALB","European Region",2021,4.783653846
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Algeria","DZA","African Region",2021,137.9203602
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Angola","AGO","African Region",2021,1.871883289
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Antigua and Barbuda","ATG","Region of the Americas",2021,8.461538462
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Argentina","ARG","Region of the Americas",2021,10.45666408
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Armenia","ARM","European Region",2021,59.85475086
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Australia","AUS","Western Pacific Region",2021,4.599919582
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Austria","AUT","European Region",2021,8.676429953
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Azerbaijan","AZE","European Region",2021,57.26588651
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Bahrain","BHR","Eastern Mediterranean Region",2021,133.7068966
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Barbados","BRB","Region of the Americas",2021,87.5
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Belarus","BLR","European Region",2021,4.696769941
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Belgium","BEL","European Region",2021,51.87960688
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Belize","BLZ","Region of the Americas",2021,1.260294485
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Benin","BEN","African Region",2021,0.975243811
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Bolivia","BOL","Region of the Americas",2021,1.2429031
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Bosnia and Herzegovina","BIH","European Region",2021,2.034840638
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Botswana","BWA","African Region",2021,2.442972916
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Brazil","BRA","Region of the Americas",2021,1.481946279
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Brunei Darussalam","BRN","Western Pacific Region",2021,3.466465712
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Bulgaria","BGR","European Region",2021,37.51940276
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Burkina Faso","BFA","African Region",2021,7.820267686
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Burundi","BDI","African Region",2021,10.19286754
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Cameroon","CMR","African Region",2021,1.560430108
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Canada","CAN","Region of the Americas",2021,3.733573635
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Central African Republic","CAF","African Region",2021,0.335648148
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Chad","TCD","African Region",2021,4.294921875
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Chile","CHL","Region of the Americas",2021,8.982121089
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","China","CHN","Western Pacific Region",2021,41.5185288
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Colombia","COL","Region of the Americas",2021,4.39097809
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Comoros","COM","African Region",2021,0.833333333
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Congo, Dem. Rep.","COD","African Region",2021,0.226883505
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Congo, Rep.","COG","African Region",2021,0.027446301
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Cote d'Ivoire","CIV","African Region",2021,5.087565674
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Cuba","CUB","Region of the Americas",2021,23.93944607
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Cyprus","CYP","European Region",2021,32.1213778
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Czechia","CZE","European Region",2021,20.51399027
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Denmark","DNK","European Region",2021,26.40427258
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Djibouti","DJI","Eastern Mediterranean Region",2021,6.333333333
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Dominica","DMA","Region of the Americas",2021,10
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Dominican Republic","DOM","Region of the Americas",2021,39.55331412
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Ecuador","ECU","Region of the Americas",2021,6.782352941
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Egypt, Arab Rep.","EGY","Eastern Mediterranean Region",2021,141.1657559
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","El Salvador","SLV","Region of the Americas",2021,13.21272614
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Equatorial Guinea","GNQ","African Region",2021,0.183503244
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Eritrea","ERI","African Region",2021,11.17511521
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Estonia","EST","European Region",2021,10.81980133
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Eswatini","SWZ","African Region",2021,77.55991285
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Fiji","FJI","Western Pacific Region",2021,0.29737303
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Finland","FIN","European Region",2021,7.11406213
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","France","FRA","European Region",2021,21.59813707
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Gabon","GAB","African Region",2021,0.502166065
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Gambia, The","GMB","African Region",2021,2.209656372
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Georgia","GEO","European Region",2021,5.240977199
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Germany","DEU","European Region",2021,35.35165707
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Ghana","GHA","African Region",2021,6.314734089
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Greece","GRC","European Region",2021,20.68379527
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Guinea","GIN","African Region",2021,1.369230769
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","Guinea-Bissau","GNB","African Region",2021,1.495726496
