"","Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","People practicing open defecation (% of population)","People using at least basic drinking water services (% of population)","People using at least basic sanitation services (% of population)","People using safely managed drinking water services (% of population)","People using safely managed sanitation services (% of population)","People with basic handwashing facilities including soap and water (% of population)","Population density (people per sq. km of land area)","Population, total","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"1","Region of the Americas",2000,0,5.88,0.38,1,13.0880109911111,8.2523463257037,88.6754529607407,77.1069348603571,61.4906999207143,41.6965701029412,NA,122.245450018278,23129104.3055556,33.7134906130769
"2","Region of the Americas",2001,0,5.81,0.38,0.94,13.2760507239259,7.92771511111111,89.0679045981481,77.6197650535714,61.8516584357143,41.9327477176471,NA,123.212556683889,23419176.8888889,32.2710316985769
"3","Region of the Americas",2002,0,5.74,0.38,0.89,13.4935187621111,7.60706427037037,89.4909483188889,78.1401000089286,62.1922261707143,42.1269523841176,NA,124.214706177528,23699974.7222222,31.7321803448077
"4","Region of the Americas",2003,0,5.66,0.37,0.86,13.6932752554444,7.27267906507407,89.9185256574074,78.6635929235714,62.5904974371429,42.4512842188235,NA,125.14549209125,23969686.4444444,32.219810874
"5","Region of the Americas",2004,0,5.58,0.37,0.82,13.874946684963,6.94817885566667,90.3140385588889,79.1803637128571,62.9886240664286,42.8854370494118,NA,126.031400380389,24241831.1666667,33.0355370862308
"6","Region of the Americas",2005,0,5.47,0.37,0.78,13.4965280146296,6.62705003192593,90.7031601174074,79.72967741,63.3874533442857,43.2805508347059,NA,126.556216564833,24510442.75,33.9925730300769
"7","Region of the Americas",2006,0,5.27,0.37,0.75,13.6157410315185,6.31001500396296,91.0873016214815,80.2822941942857,63.78579248,43.6783020547059,NA,127.331118566306,24783032.1388889,36.5413219071538
"8","Region of the Americas",2007,0,4.96,0.37,0.7,13.716820911,5.99685343918518,91.4679306251852,80.8482850139286,64.181215655,44.0769396105882,NA,128.106755535361,25053981.7777778,38.5095248179615
"9","Region of the Americas",2008,0,4.61,0.37,0.67,13.9149070024815,5.68770232485185,91.8454698937037,81.4131541610714,64.572678385,44.4795967970588,NA,128.908795246111,25325578.7222222,38.9793963261538
"10","Region of the Americas",2009,0,4.28,0.37,0.63,13.9984292306667,5.38335464585185,92.2132680814815,81.9788135671429,65.1531774514286,44.8923002529412,NA,129.6894489475,25590401.9166667,36.9112432221154
"11","Region of the Americas",2010,0,4.03,0.37,0.6,14.1163309485556,5.08287457162963,92.5761153211111,82.5431621385714,65.7342136385714,45.3152763870588,NA,130.416243441806,25848376.3611111,36.3699329822692
"12","Region of the Americas",2011,0,3.86,0.37,0.66,14.1588945326667,4.78611717933333,92.9349123814815,83.1037098942857,66.314350655,45.7515335247059,NA,131.069842955417,26095738.5833333,36.8299071841154
"13","Region of the Americas",2012,0,3.68,0.37,0.56,14.2413965757037,4.49303765907407,93.2903453677778,83.6630511210714,66.8940098114286,46.2215725217647,NA,131.771603263917,26345236.75,38.0321832459231
"14","Region of the Americas",2013,0,3.5,0.37,0.56,14.2660750981852,4.204211179,93.6600373448148,84.2203531639286,67.5154264314286,46.6964826311765,NA,132.524043957139,26589474.2777778,38.6218415315769
"15","Region of the Americas",2014,0,3.35,0.37,0.54,14.3128637609259,3.91908907414815,94.0261109796296,84.7665117867857,68.1380367407143,47.1757964223529,NA,133.136008881528,26834632.25,39.4760802368077
"16","Region of the Americas",2015,0,3.25,0.36,0.52,14.0698312805556,3.63721424088889,94.3877233011111,85.3251439496429,68.7262192521429,47.6535393735294,NA,133.671878696389,27074134.3333333,40.2872253098846
"17","Region of the Americas",2016,0,3.15,0.36,0.51,14.2754807126667,3.35872375774074,94.7362133396296,85.8788146335714,69.2349396064286,48.0973622352941,NA,134.134856493083,27312776.6666667,40.5493520662692
"18","Region of the Americas",2017,0,3.04,0.36,0.49,14.2842318844074,3.07580212707407,95.0736179848148,86.4290086021429,69.5827313242857,48.4675636405882,NA,134.491121939278,27539096.3055556,40.8919457552692
"19","Region of the Americas",2018,0,2.94,0.36,0.47,14.6411582728148,2.82529682696296,95.3665467574074,86.9483010560714,69.8553426357143,48.8184446047059,NA,134.666737412694,27749956.6111111,42.0096252810385
"20","Region of the Americas",2019,0,2.88,0.36,0.47,14.6489190720741,2.59770829562963,95.5694971037037,87.4677479825,70.0625224285714,49.1726643788235,NA,135.249500098028,27950193.6111111,42.792870049
"21","Region of the Americas",2020,0,2.72,0.34,0.36,14.6182450812222,2.39736010603704,95.7468150218518,87.9061585696429,70.2458764085714,49.4926545147059,NA,136.088585956361,28179454.6111111,38.0587218605385
"22","Region of the Americas",2021,0,2.72,0.33,0.32,14.6790938498889,2.2279541357037,95.9171163681481,88.3116714728571,70.4225457392857,49.8082312217647,NA,136.5191209735,28303685.6944444,39.9161368367308
"23","African Region",2000,0.04,22.74,0.7,10.68,9.72499611927907,32.8754594129524,56.2606314113954,25.5792707349048,15.7240890344762,15.29002589752,9.2613819735,77.9665313357609,14369649.8297872,26.081808629
"24","African Region",2001,0.04,22.66,0.7,10.62,10.0726951241163,32.1405056661905,56.8915512648837,26.149801191619,16.0583011434762,15.56869548556,9.548827301,79.4786835983913,14749032.8297872,28.3511698312326
"25","African Region",2002,0.04,22.56,0.69,10.41,10.4342041774884,31.3466123650476,57.5603276674419,26.7909226458571,16.448185324,15.9030541076,9.845010353,81.2120686877174,15141153.1489362,29.8325961841395
